org1,org2,total,2008,2009,2010,2011,2012,2013
SPOL,VESC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PHYS,SPOL,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
HUMS,MSAD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SOCS,MVSF,0.0048625651,0.0005252101,0.0005252101,0.0000000000,0.0010504202,0.0015756303,0.0010504202
INOV,QUEN,0.0059067567,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0053763441,0.0000000000
PHYS,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SCIF,GEOG,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPOL,EFIM,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MEED,PHYS,0.0002273760,0.0000000000,0.0000000000,0.0000000000,0.0002331002,0.0000000000,0.0000000000
SOCS,MVEN,0.0002452862,0.0001007252,0.0000503626,0.0000251813,0.0000000000,0.0001007252,0.0000000000
SPOL,NSQI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPOL,MDYF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MVSF,PHPH,0.0118397971,0.0000000000,0.0042432815,0.0014144272,0.0042432815,0.0028288543,0.0000000000
CHEM,EDUC,0.0001113713,0.0000000000,0.0001408054,0.0000000000,0.0000000000,0.0000000000,0.0000000000
MDYF,CHSE,0.0232248313,0.0000000000,0.0000000000,0.0000000000,0.0238095238,0.0000000000,0.0000000000
REST,BISC,0.0002553668,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002044572
MODL,PHYS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPOL,BIOC,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
REST,MEED,0.0003345648,0.0000000000,0.0000000000,0.0003827019,0.0000000000,0.0000000000,0.0000000000
REST,CABI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
BIOC,VESC,0.0002744450,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0002197319
PANM,LAWD,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ENGF,MDYF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PSYC,SART,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
PANM,INOV,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
SPAI,INOV,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
HUMS,CHSE,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ENGF,ENGF,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
ORDS,MDYF,0.2835020581,0.0175438596,0.0760233918,0.0584795322,0.0584795322,0.0467836257,0.0409356725
