org1,org2,total,2008,2009,2010,2011,2012,2013
FMVS,FMVS,0.5126714675,0.0761956531,0.0800571853,0.0624851941,0.0964486480,0.1616996564,0.0543948547
REST,FSCI,0.0102262598,0.0026407155,0.0022153503,0.0028077230,0.0015470500,0.0011441279,0.0010772146
FMVS,REST,0.0009559140,0.0000000000,0.0000000000,0.0005146680,0.0000000000,0.0000000000,0.0004051100
FSCI,FSCI,0.9685612421,0.1343161263,0.1531125630,0.1272758888,0.1837389079,0.1831798601,0.2070979988
REST,FSSL,0.0031697531,0.0008078999,0.0002446782,0.0006218905,0.0002816108,0.0000000000,0.0012603238
FENG,FMVS,0.0233769671,0.0003287416,0.0000000000,0.0000925583,0.0004214372,0.0193955423,0.0010715781
REST,FOAT,0.0006343376,0.0008779631,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSSL,REST,0.0031697531,0.0008078999,0.0002446782,0.0006218905,0.0002816108,0.0000000000,0.0012603238
FMDY,FSSL,0.0196550397,0.0048492753,0.0036339542,0.0022326432,0.0029152644,0.0033044949,0.0038839759
INST,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSSL,FOAT,0.0091413004,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0049369748,0.0029761905
FOAT,REST,0.0006343376,0.0008779631,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMDY,INST,0.0043217967,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0034602076
FSSL,FSSL,0.5426854412,0.0733535362,0.1037644942,0.0847617418,0.0982239948,0.0775478129,0.1220999518
FSCI,REST,0.0102262598,0.0026407155,0.0022153503,0.0028077230,0.0015470500,0.0011441279,0.0010772146
FMDY,FMVS,0.0521933222,0.0046837362,0.0022759786,0.0162141391,0.0186497943,0.0063951262,0.0060980999
FSSL,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMDY,REST,0.0029869568,0.0004200111,0.0006879190,0.0007478403,0.0004925421,0.0003130971,0.0005293601
FMVS,INST,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
INST,FSCI,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FENG,FOAT,0.0274882470,0.0068493151,0.0000000000,0.0006325111,0.0000000000,0.0122256592,0.0068493151
FOAT,FMVS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FMVS,FOAT,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSCI,FSSL,0.0131753703,0.0000000000,0.0009700464,0.0030321486,0.0034599444,0.0016584820,0.0036511350
FSSL,FMVS,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
FSCI,FMVS,0.0196909951,0.0036945626,0.0015290462,0.0015204238,0.0015691846,0.0077066621,0.0035912066
FSSL,FMDY,0.0196550397,0.0048492753,0.0036339542,0.0022326432,0.0029152644,0.0033044949,0.0038839759
FENG,REST,0.0151551416,0.0028613011,0.0031086283,0.0027370879,0.0017444813,0.0021380064,0.0033511922
FSSL,FSCI,0.0131753703,0.0000000000,0.0009700464,0.0030321486,0.0034599444,0.0016584820,0.0036511350
FENG,FENG,0.3158767946,0.0421278705,0.0443292414,0.0460870794,0.0602185932,0.0531857841,0.0743903539
